year,period,series_id,value
2013,M07,JTU000000000000000QUL,2704
2013,M08,JTU000000000000000QUL,2998
2013,M09,JTU000000000000000QUL,2480
2013,M10,JTU000000000000000QUL,2420
2013,M11,JTU000000000000000QUL,1952
2013,M12,JTU000000000000000QUL,1918
2014,M01,JTU000000000000000QUL,2299
2014,M02,JTU000000000000000QUL,1928
2014,M03,JTU000000000000000QUL,2195
2014,M04,JTU000000000000000QUL,2468
2014,M05,JTU000000000000000QUL,2570
2014,M06,JTU000000000000000QUL,2686
2014,M07,JTU000000000000000QUL,3001
2014,M08,JTU000000000000000QUL,3280
2014,M09,JTU000000000000000QUL,2919
2014,M10,JTU000000000000000QUL,2776
2014,M11,JTU000000000000000QUL,2138
2014,M12,JTU000000000000000QUL,2155
2015,M01,JTU000000000000000QUL,2753
2015,M02,JTU000000000000000QUL,2202
2015,M03,JTU000000000000000QUL,2496
2015,M04,JTU000000000000000QUL,2701
2015,M05,JTU000000000000000QUL,2830
2015,M06,JTU000000000000000QUL,2976
2015,M07,JTU000000000000000QUL,3161
2015,M08,JTU000000000000000QUL,3680
2015,M09,JTU000000000000000QUL,2961
2015,M10,JTU000000000000000QUL,2892
2015,M11,JTU000000000000000QUL,2409
2015,M12,JTU000000000000000QUL,2598
2016,M01,JTU000000000000000QUL,2859
2016,M02,JTU000000000000000QUL,2430
2016,M03,JTU000000000000000QUL,2650
2016,M04,JTU000000000000000QUL,2938
2016,M05,JTU000000000000000QUL,3115
2016,M06,JTU000000000000000QUL,3254
2016,M07,JTU000000000000000QUL,3368
2016,M08,JTU000000000000000QUL,3800
2016,M09,JTU000000000000000QUL,3235
2016,M10,JTU000000000000000QUL,3177
2016,M11,JTU000000000000000QUL,2526
2016,M12,JTU000000000000000QUL,2528
2017,M01,JTU000000000000000QUL,3142
2017,M02,JTU000000000000000QUL,2486
2017,M03,JTU000000000000000QUL,2870
2017,M04,JTU000000000000000QUL,3012
2017,M05,JTU000000000000000QUL,3240
2017,M06,JTU000000000000000QUL,3420
2017,M07,JTU000000000000000QUL,3531
2017,M08,JTU000000000000000QUL,3935
2017,M09,JTU000000000000000QUL,3403
2017,M10,JTU000000000000000QUL,3289
2017,M11,JTU000000000000000QUL,2645
2017,M12,JTU000000000000000QUL,2714
2018,M01,JTU000000000000000QUL,3003
2018,M02,JTU000000000000000QUL,2577
2018,M03,JTU000000000000000QUL,3023
2018,M04,JTU000000000000000QUL,3352
2018,M05,JTU000000000000000QUL,3525
2018,M06,JTU000000000000000QUL,3664
2018,M07,JTU000000000000000QUL,3889
2018,M08,JTU000000000000000QUL,4323
2018,M09,JTU000000000000000QUL,3612
2018,M10,JTU000000000000000QUL,3572
2018,M11,JTU000000000000000QUL,2900
2018,M12,JTU000000000000000QUL,2889
2019,M01,JTU000000000000000QUL,3479
2019,M02,JTU000000000000000QUL,2904
2019,M03,JTU000000000000000QUL,3238
2019,M04,JTU000000000000000QUL,3487
2019,M05,JTU000000000000000QUL,3618
2019,M06,JTU000000000000000QUL,3795
2019,M07,JTU000000000000000QUL,4090
2019,M08,JTU000000000000000QUL,4450
2019,M09,JTU000000000000000QUL,3634
2019,M10,JTU000000000000000QUL,3527
2019,M11,JTU000000000000000QUL,2938
2019,M12,JTU000000000000000QUL,2982
