year,period,series_id,value,total_quits
2011,M07,JTU000000000000000QUL,2300,2300000
2011,M08,JTU000000000000000QUL,2679,2679000
2011,M09,JTU000000000000000QUL,2230,2230000
2011,M10,JTU000000000000000QUL,2053,2053000
2011,M11,JTU000000000000000QUL,1631,1631000
2011,M12,JTU000000000000000QUL,1627,1627000
2012,M01,JTU000000000000000QUL,1999,1999000
2012,M02,JTU000000000000000QUL,1683,1683000
2012,M03,JTU000000000000000QUL,1920,1920000
2012,M04,JTU000000000000000QUL,2143,2143000
2012,M05,JTU000000000000000QUL,2221,2221000
2012,M06,JTU000000000000000QUL,2338,2338000
2012,M07,JTU000000000000000QUL,2397,2397000
2012,M08,JTU000000000000000QUL,2747,2747000
2012,M09,JTU000000000000000QUL,2127,2127000
2012,M10,JTU000000000000000QUL,2076,2076000
2012,M11,JTU000000000000000QUL,1657,1657000
2012,M12,JTU000000000000000QUL,1699,1699000
2013,M01,JTU000000000000000QUL,2255,2255000
2013,M02,JTU000000000000000QUL,1828,1828000
2013,M03,JTU000000000000000QUL,1884,1884000
2013,M04,JTU000000000000000QUL,2298,2298000
2013,M05,JTU000000000000000QUL,2317,2317000
2013,M06,JTU000000000000000QUL,2397,2397000
2013,M07,JTU000000000000000QUL,2704,2704000
2013,M08,JTU000000000000000QUL,2998,2998000
2013,M09,JTU000000000000000QUL,2480,2480000
2013,M10,JTU000000000000000QUL,2420,2420000
2013,M11,JTU000000000000000QUL,1952,1952000
2013,M12,JTU000000000000000QUL,1918,1918000
2014,M01,JTU000000000000000QUL,2299,2299000
2014,M02,JTU000000000000000QUL,1928,1928000
2014,M03,JTU000000000000000QUL,2195,2195000
2014,M04,JTU000000000000000QUL,2468,2468000
2014,M05,JTU000000000000000QUL,2570,2570000
2014,M06,JTU000000000000000QUL,2686,2686000
2014,M07,JTU000000000000000QUL,3001,3001000
2014,M08,JTU000000000000000QUL,3280,3280000
2014,M09,JTU000000000000000QUL,2919,2919000
2014,M10,JTU000000000000000QUL,2776,2776000
2014,M11,JTU000000000000000QUL,2138,2138000
2014,M12,JTU000000000000000QUL,2155,2155000
2015,M01,JTU000000000000000QUL,2753,2753000
2015,M02,JTU000000000000000QUL,2202,2202000
2015,M03,JTU000000000000000QUL,2496,2496000
2015,M04,JTU000000000000000QUL,2701,2701000
2015,M05,JTU000000000000000QUL,2830,2830000
2015,M06,JTU000000000000000QUL,2976,2976000
2015,M07,JTU000000000000000QUL,3161,3161000
2015,M08,JTU000000000000000QUL,3680,3680000
2015,M09,JTU000000000000000QUL,2961,2961000
2015,M10,JTU000000000000000QUL,2892,2892000
2015,M11,JTU000000000000000QUL,2409,2409000
2015,M12,JTU000000000000000QUL,2598,2598000
2016,M01,JTU000000000000000QUL,2859,2859000
2016,M02,JTU000000000000000QUL,2430,2430000
2016,M03,JTU000000000000000QUL,2650,2650000
2016,M04,JTU000000000000000QUL,2938,2938000
2016,M05,JTU000000000000000QUL,3115,3115000
2016,M06,JTU000000000000000QUL,3254,3254000
2016,M07,JTU000000000000000QUL,3368,3368000
2016,M08,JTU000000000000000QUL,3800,3800000
2016,M09,JTU000000000000000QUL,3235,3235000
2016,M10,JTU000000000000000QUL,3177,3177000
2016,M11,JTU000000000000000QUL,2526,2526000
2016,M12,JTU000000000000000QUL,2528,2528000
2017,M01,JTU000000000000000QUL,3142,3142000
2017,M02,JTU000000000000000QUL,2486,2486000
2017,M03,JTU000000000000000QUL,2870,2870000
2017,M04,JTU000000000000000QUL,3012,3012000
2017,M05,JTU000000000000000QUL,3240,3240000
2017,M06,JTU000000000000000QUL,3420,3420000
2017,M07,JTU000000000000000QUL,3531,3531000
2017,M08,JTU000000000000000QUL,3935,3935000
2017,M09,JTU000000000000000QUL,3403,3403000
2017,M10,JTU000000000000000QUL,3289,3289000
2017,M11,JTU000000000000000QUL,2645,2645000
2017,M12,JTU000000000000000QUL,2714,2714000
2018,M01,JTU000000000000000QUL,3003,3003000
2018,M02,JTU000000000000000QUL,2577,2577000
2018,M03,JTU000000000000000QUL,3023,3023000
2018,M04,JTU000000000000000QUL,3352,3352000
2018,M05,JTU000000000000000QUL,3525,3525000
2018,M06,JTU000000000000000QUL,3664,3664000
2018,M07,JTU000000000000000QUL,3889,3889000
2018,M08,JTU000000000000000QUL,4323,4323000
2018,M09,JTU000000000000000QUL,3612,3612000
2018,M10,JTU000000000000000QUL,3572,3572000
2018,M11,JTU000000000000000QUL,2900,2900000
2018,M12,JTU000000000000000QUL,2889,2889000
2019,M01,JTU000000000000000QUL,3479,3479000
2019,M02,JTU000000000000000QUL,2904,2904000
2019,M03,JTU000000000000000QUL,3238,3238000
2019,M04,JTU000000000000000QUL,3487,3487000
2019,M05,JTU000000000000000QUL,3618,3618000
2019,M06,JTU000000000000000QUL,3795,3795000
2019,M07,JTU000000000000000QUL,4090,4090000
2019,M08,JTU000000000000000QUL,4450,4450000
2019,M09,JTU000000000000000QUL,3634,3634000
